origin_airport,destination_airport,SumOfSumC (tonnes),in kg
FUK,HND," 39,704 ",39703702.34
LAX,JFK," 38,809 ",38809031.4
JFK,LAX," 38,355 ",38354615.85
DXB,LHR," 34,719 ",34718840.58
CTS,HND," 34,489 ",34489398.28
DEL,BOM," 33,836 ",33836316.58
LHR,JFK," 33,410 ",33410015.15
HND,CTS," 33,077 ",33077460.04
BOM,DEL," 32,962 ",32962449.58
JFK,LHR," 32,912 ",32911560.03
GMP,CJU," 30,247 ",30246887.3
SGN,HAN," 30,088 ",30088387.68
HND,FUK," 29,883 ",29882877.62
CJU,GMP," 28,983 ",28982852.69
HND,OKA," 27,502 ",27502452.05
OKA,HND," 27,287 ",27287430.39
SFO,JFK," 26,014 ",26013860.07
HKG,SIN," 25,405 ",25404946.05
JFK,SFO," 25,130 ",25129603.71
PEK,SZX," 24,643 ",24642998.34
CTU,PEK," 24,130 ",24130384.86
PEK,CAN," 23,229 ",23229056.01
MEL,SYD," 23,017 ",23017160.51
CAN,PEK," 22,634 ",22633840.42
LHR,DXB," 22,487 ",22486859.57
SYD,MEL," 22,202 ",22202072.47
CGK,JED," 22,130 ",22130105.86
PEK,SHA," 21,868 ",21868487.11
HKG,NRT," 21,834 ",21834110.54
PEK,SYX," 21,834 ",21834012.26
NRT,HKG," 21,322 ",21322068.27
CPT,JNB," 21,314 ",21313788.82
DEL,BLR," 21,220 ",21219714.94
YYZ,YVR," 21,211 ",21210937.14
HKG,ICN," 21,135 ",21134771.75
JED,CGK," 20,848 ",20847552.95
DXB,BKK," 20,784 ",20784096.67
MEX,CUN," 20,730 ",20730101.32
SIN,HKG," 20,358 ",20357961.11
BKK,HKG," 20,138 ",20137864.77
HAN,SGN," 20,032 ",20031516.63
CUN,MEX," 19,972 ",19972188.21
EWR,SFO," 19,717 ",19716925.56
YVR,YYZ," 19,475 ",19475280.64
PEK,HKG," 18,557 ",18557182.66
SZX,PEK," 18,375 ",18374743.87
HKG,TPE," 18,329 ",18329004.26
EWR,LAX," 18,261 ",18260571.28
PEK,CTU," 18,168 ",18168483.23
TPE,NRT," 18,089 ",18089465.96
SZX,SHA," 17,774 ",17773909.33
RUH,JED," 17,535 ",17534942.77
SYD,PER," 17,384 ",17383676.09
LAX,ORD," 17,321 ",17320648.89
