id,name,latitude_deg,longitude_deg,iata_code
4983,Anaa Airport,-17.3526001,-145.5099945,AAA
27342,Arrabury Airport,-26.693023,141.047771,AAB
3176,El Arish International Airport,31.07329941,33.83580017,AAC
324756,Adado Airport,6.095802,46.6375,AAD
2060,Rabah Bitat Airport,36.822201,7.809174,AAE
19224,Apalachicola Regional Airport,29.72750092,-85.02749634,AAF
513,Arapoti Airport,-24.10390091,-49.78910065,AAG
28490,Aachen-Merzbrück Airport,50.82305527,6.186388969,AAH
38046,Arraias Airport,-13.025154,-46.884107,AAI
30606,Cayana Airstrip,3.898681,-55.577907,AAJ
30607,Buariki Airport,0.185277998,173.6369934,AAK
2562,Aalborg Airport,57.09275891,9.849243164,AAL
2808,Malamala Airport,-24.81809998,31.54459953,AAM
5230,Al Ain International Airport,24.26169968,55.60919952,AAN
6251,Anaco Airport,9.430225372,-64.47072601,AAO
29963,Andrau Airpark,29.72249985,-95.58830261,AAP
6511,Anapa Vityazevo Airport,45.0021019,37.34730148,AAQ
2540,Aarhus Airport,56.29999924,10.61900043,AAR
41361,Apalapsili Airport,-3.8832,139.3108,AAS
44191,Altay Air Base,47.74988556,88.0858078,AAT
30608,Asau Airport,-13.505132,-172.627888,AAU
5694,Allah Valley Airport,6.366819859,124.7509995,AAV
5866,Romeu Zema Airport,-19.5632,-46.96039963,AAX
5315,Al Ghaidah International Airport,16.19169998,52.17499924,AAY
30610,Quezaltenango Airport,14.8656,-91.501999,AAZ
6503,Abakan Airport,53.74000168,91.38500214,ABA
300781,Asaba International Airport,6.204167,6.665278,ABB
3996,Albacete-Los Llanos Airport,38.94850159,-1.863520026,ABC
5130,Abadan Airport,30.37109947,48.22829819,ABD
3356,Lehigh Valley International Airport,40.65209961,-75.44080353,ABE
30611,Abaiang Airport,1.798609972,173.0410004,ABF
27311,Abingdon Downs Airport,-17.61669922,143.1670074,ABG
26890,Alpha Airport,-23.646099,146.584,ABH
3357,Abilene Regional Airport,32.41130066,-99.68190002,ABI
2096,Port Bouet Airport,5.261390209,-3.926290035,ABJ
30612,Kabri Dehar Airport,6.734000206,44.25299835,ABK
5363,Ambler Airport,67.1063,-157.856989,ABL
26898,Northern Peninsula Airport,-10.9508,142.459,ABM
41505,Albina Airport,5.512720108,-54.05009842,ABN
323785,Aboisso Airport,5.461944,-3.234722,ABO
301645,Atkamba Airport,-6.065555556,141.0952778,ABP
16091,Albuquerque International Sunport Airport,35.040199,-106.609001,ABQ
3358,Aberdeen Regional Airport,45.44910049,-98.42179871,ABR
3181,Abu Simbel Airport,22.37599945,31.61170006,ABS
